graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N500|node_size|final_case|500|500|Optimization|N500_C1_I1,medium_large,node_size,final_case,500,500,Optimization,N500_C1_I1,N500_C1_I1.dat,500,500,Optimization (Optimum),0.900000,7.815000,1.610880,11.330000,0.772808,0.589064,0.121422,0.062321,0.772808
N1000|node_size|final_case|1000|1000|Optimization|N1000_C1_I1,medium_large,node_size,final_case,1000,1000,Optimization,N1000_C1_I1,N1000_C1_I1.dat,1000,1000,Optimization (Optimum),0.900000,11.673780,1.611660,17.460000,0.902396,0.715364,0.098762,0.088271,0.902396
N1500|node_size|final_case|1500|1500|Optimization|N1500_C1_I1,medium_large,node_size,final_case,1500,1500,Optimization,N1500_C1_I1,N1500_C1_I1.dat,1500,1500,Optimization (Optimum),0.900000,13.566720,1.608600,15.310000,0.922644,0.757584,0.089826,0.075233,0.922644
N2000|node_size|final_case|2000|2000|Optimization|N2000_C1_I1,medium_large,node_size,final_case,2000,2000,Optimization,N2000_C1_I1,N2000_C1_I1.dat,2000,2000,Optimization (Optimum),0.900000,15.889200,2.333340,6.460000,0.991112,0.836373,0.122822,0.031917,0.991112
N2500|node_size|final_case|2500|2500|Optimization|N2500_C1_I1,medium_large,node_size,final_case,2500,2500,Optimization,N2500_C1_I1,N2500_C1_I1.dat,2500,2500,Optimization (Optimum),0.900000,17.751180,2.180700,6.650000,1.017217,0.876980,0.107735,0.032502,1.017217
N500|node_size|final_case|500|500|ACO|N500_C1_I1,medium_large,node_size,final_case,500,500,ACO,N500_C1_I1,N500_C1_I1.dat,500,500,ACO,0.900000,6.096000,5.724000,8.100000,4.148500,0.459493,0.431453,0.044554,0.935500
N1000|node_size|final_case|1000|1000|ACO|N1000_C1_I1,medium_large,node_size,final_case,1000,1000,ACO,N1000_C1_I1,N1000_C1_I1.dat,1000,1000,ACO,0.900000,8.889780,1.611660,17.460000,0.731794,0.544761,0.098762,0.088271,0.731794
N1500|node_size|final_case|1500|1500|ACO|N1500_C1_I1,medium_large,node_size,final_case,1500,1500,ACO,N1500_C1_I1,N1500_C1_I1.dat,1500,1500,ACO,0.900000,10.353600,1.750680,15.600000,0.752578,0.578159,0.097760,0.076658,0.752578
N2000|node_size|final_case|2000|2000|ACO|N2000_C1_I1,medium_large,node_size,final_case,2000,2000,ACO,N2000_C1_I1,N2000_C1_I1.dat,2000,2000,ACO,0.900000,11.317200,2.333340,6.460000,0.750452,0.595713,0.122822,0.031917,0.750452
N2500|node_size|final_case|2500|2500|ACO|N2500_C1_I1,medium_large,node_size,final_case,2500,2500,ACO,N2500_C1_I1,N2500_C1_I1.dat,2500,2500,ACO,0.900000,12.560820,1.796460,9.130000,0.753931,0.620555,0.088752,0.044624,0.753931
N500|node_size|final_case|500|500|PSO|N500_C1_I1,medium_large,node_size,final_case,500,500,PSO,N500_C1_I1,N500_C1_I1.dat,500,500,PSO,0.900000,8.817000,1.610880,11.330000,0.848334,0.664591,0.121422,0.062321,0.848334
N1000|node_size|final_case|1000|1000|PSO|N1000_C1_I1,medium_large,node_size,final_case,1000,1000,PSO,N1000_C1_I1,N1000_C1_I1.dat,1000,1000,PSO,0.900000,11.673780,1.611660,17.460000,0.902396,0.715364,0.098762,0.088271,0.902396
N1500|node_size|final_case|1500|1500|PSO|N1500_C1_I1,medium_large,node_size,final_case,1500,1500,PSO,N1500_C1_I1,N1500_C1_I1.dat,1500,1500,PSO,0.900000,13.566720,1.608600,15.310000,0.922644,0.757584,0.089826,0.075233,0.922644
N2000|node_size|final_case|2000|2000|PSO|N2000_C1_I1,medium_large,node_size,final_case,2000,2000,PSO,N2000_C1_I1,N2000_C1_I1.dat,2000,2000,PSO,0.900000,16.273200,2.333340,6.460000,1.011325,0.856586,0.122822,0.031917,1.011325
N2500|node_size|final_case|2500|2500|PSO|N2500_C1_I1,medium_large,node_size,final_case,2500,2500,PSO,N2500_C1_I1,N2500_C1_I1.dat,2500,2500,PSO,0.900000,18.740820,1.796460,9.130000,1.059248,0.925872,0.088752,0.044624,1.059248
N500|node_size|final_case|500|500|GA|N500_C1_I1,medium_large,node_size,final_case,500,500,GA,N500_C1_I1,N500_C1_I1.dat,500,500,GA,0.900000,7.815000,1.610880,11.330000,0.772808,0.589064,0.121422,0.062321,0.772808
N1000|node_size|final_case|1000|1000|GA|N1000_C1_I1,medium_large,node_size,final_case,1000,1000,GA,N1000_C1_I1,N1000_C1_I1.dat,1000,1000,GA,0.900000,12.723780,1.611660,17.460000,0.966740,0.779707,0.098762,0.088271,0.966740
N1500|node_size|final_case|1500|1500|GA|N1500_C1_I1,medium_large,node_size,final_case,1500,1500,GA,N1500_C1_I1,N1500_C1_I1.dat,1500,1500,GA,0.900000,15.054480,2.425500,9.680000,1.023674,0.840663,0.135443,0.047568,1.023674
N2000|node_size|final_case|2000|2000|GA|N2000_C1_I1,medium_large,node_size,final_case,2000,2000,GA,N2000_C1_I1,N2000_C1_I1.dat,2000,2000,GA,0.900000,15.889200,2.333340,6.460000,0.991112,0.836373,0.122822,0.031917,0.991112
N2500|node_size|final_case|2500|2500|GA|N2500_C1_I1,medium_large,node_size,final_case,2500,2500,GA,N2500_C1_I1,N2500_C1_I1.dat,2500,2500,GA,0.900000,17.795520,2.280180,6.750000,1.024812,0.879170,0.112650,0.032991,1.024812
