graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,x_value,x_label,method,alpha,driving_time_min,walking_time_min,parking_cost_usd,original_objective,displayed_driving_component,displayed_walking_component,displayed_cost_component,displayed_total
N2500|edge_density|parameter_sensitivity|2500|7446|Optimization|N2500_PS_edge_density_baseline_7446_I1,medium_large,edge_density,parameter_sensitivity,2500,7446,Optimization,N2500_PS_edge_density_baseline_7446_I1,N2500_PS_edge_density_baseline_7446_I1.dat,7446,7446,Optimization (Optimum),0.900000,17.751180,2.180700,6.650000,1.017217,0.876980,0.107735,0.032502,1.017217
N2500|edge_density|parameter_sensitivity|2500|8278|Optimization|N2500_PS_edge_density_dense_8278_I1,medium_large,edge_density,parameter_sensitivity,2500,8278,Optimization,N2500_PS_edge_density_dense_8278_I1,N2500_PS_edge_density_dense_8278_I1.dat,8278,8278,Optimization (Optimum),0.900000,11.247180,2.180700,6.650000,0.793091,0.637068,0.123520,0.032502,0.793091
N2500|edge_density|parameter_sensitivity|2500|9110|Optimization|N2500_PS_edge_density_denser_9110_I1,medium_large,edge_density,parameter_sensitivity,2500,9110,Optimization,N2500_PS_edge_density_denser_9110_I1,N2500_PS_edge_density_denser_9110_I1.dat,9110,9110,Optimization (Optimum),0.900000,11.768820,1.796460,9.130000,0.828989,0.680491,0.103874,0.044624,0.828989
N2500|edge_density|parameter_sensitivity|2500|7446|ACO|N2500_PS_edge_density_baseline_7446_I1,medium_large,edge_density,parameter_sensitivity,2500,7446,ACO,N2500_PS_edge_density_baseline_7446_I1,N2500_PS_edge_density_baseline_7446_I1.dat,7446,7446,ACO,0.900000,12.560820,1.796460,9.130000,0.753931,0.620555,0.088752,0.044624,0.753931
N2500|edge_density|parameter_sensitivity|2500|8278|ACO|N2500_PS_edge_density_dense_8278_I1,medium_large,edge_density,parameter_sensitivity,2500,8278,ACO,N2500_PS_edge_density_dense_8278_I1,N2500_PS_edge_density_dense_8278_I1.dat,8278,8278,ACO,0.900000,14.774820,1.796460,9.130000,0.983262,0.836882,0.101756,0.044624,0.983262
N2500|edge_density|parameter_sensitivity|2500|9110|ACO|N2500_PS_edge_density_denser_9110_I1,medium_large,edge_density,parameter_sensitivity,2500,9110,ACO,N2500_PS_edge_density_denser_9110_I1,N2500_PS_edge_density_denser_9110_I1.dat,9110,9110,ACO,0.900000,5.732820,1.796460,9.130000,0.479978,0.331480,0.103874,0.044624,0.479978
N2500|edge_density|parameter_sensitivity|2500|7446|PSO|N2500_PS_edge_density_baseline_7446_I1,medium_large,edge_density,parameter_sensitivity,2500,7446,PSO,N2500_PS_edge_density_baseline_7446_I1,N2500_PS_edge_density_baseline_7446_I1.dat,7446,7446,PSO,0.900000,18.740820,1.796460,9.130000,1.059248,0.925872,0.088752,0.044624,1.059248
N2500|edge_density|parameter_sensitivity|2500|8278|PSO|N2500_PS_edge_density_dense_8278_I1,medium_large,edge_density,parameter_sensitivity,2500,8278,PSO,N2500_PS_edge_density_dense_8278_I1,N2500_PS_edge_density_dense_8278_I1.dat,8278,8278,PSO,0.900000,11.247180,2.180700,6.650000,0.793091,0.637068,0.123520,0.032502,0.793091
N2500|edge_density|parameter_sensitivity|2500|9110|PSO|N2500_PS_edge_density_denser_9110_I1,medium_large,edge_density,parameter_sensitivity,2500,9110,PSO,N2500_PS_edge_density_denser_9110_I1,N2500_PS_edge_density_denser_9110_I1.dat,9110,9110,PSO,0.900000,11.768820,1.796460,9.130000,0.828989,0.680491,0.103874,0.044624,0.828989
N2500|edge_density|parameter_sensitivity|2500|7446|GA|N2500_PS_edge_density_baseline_7446_I1,medium_large,edge_density,parameter_sensitivity,2500,7446,GA,N2500_PS_edge_density_baseline_7446_I1,N2500_PS_edge_density_baseline_7446_I1.dat,7446,7446,GA,0.900000,17.795520,2.280180,6.750000,1.024812,0.879170,0.112650,0.032991,1.024812
N2500|edge_density|parameter_sensitivity|2500|8278|GA|N2500_PS_edge_density_dense_8278_I1,medium_large,edge_density,parameter_sensitivity,2500,8278,GA,N2500_PS_edge_density_dense_8278_I1,N2500_PS_edge_density_dense_8278_I1.dat,8278,8278,GA,0.900000,12.007440,3.460380,7.610000,0.913330,0.680131,0.196004,0.037195,0.913330
N2500|edge_density|parameter_sensitivity|2500|9110|GA|N2500_PS_edge_density_denser_9110_I1,medium_large,edge_density,parameter_sensitivity,2500,9110,GA,N2500_PS_edge_density_denser_9110_I1,N2500_PS_edge_density_denser_9110_I1.dat,9110,9110,GA,0.900000,12.393060,4.134660,7.130000,0.990506,0.716586,0.239072,0.034848,0.990506
