graph_source_key,experiment_scale,experiment_name,experiment_group,node_size,parameter_label,method_key,source_case,dat_file,case,nodes,method,runtime_s
N500|runtime|final_case|500|500|Optimization|N500_C1_I1,medium_large,runtime,final_case,500,500,Optimization,N500_C1_I1,N500_C1_I1.dat,N500_C1_I1,500,Optimization,47.991352
N500|runtime|final_case|500|500|ACO|N500_C1_I1,medium_large,runtime,final_case,500,500,ACO,N500_C1_I1,N500_C1_I1.dat,N500_C1_I1,500,ACO,1.324668
N500|runtime|final_case|500|500|PSO|N500_C1_I1,medium_large,runtime,final_case,500,500,PSO,N500_C1_I1,N500_C1_I1.dat,N500_C1_I1,500,PSO,26.685188
N500|runtime|final_case|500|500|GA|N500_C1_I1,medium_large,runtime,final_case,500,500,GA,N500_C1_I1,N500_C1_I1.dat,N500_C1_I1,500,GA,59.223543
N1000|runtime|final_case|1000|1000|Optimization|N1000_C1_I1,medium_large,runtime,final_case,1000,1000,Optimization,N1000_C1_I1,N1000_C1_I1.dat,N1000_C1_I1,1000,Optimization,109.954351
N1000|runtime|final_case|1000|1000|ACO|N1000_C1_I1,medium_large,runtime,final_case,1000,1000,ACO,N1000_C1_I1,N1000_C1_I1.dat,N1000_C1_I1,1000,ACO,68.133531
N1000|runtime|final_case|1000|1000|PSO|N1000_C1_I1,medium_large,runtime,final_case,1000,1000,PSO,N1000_C1_I1,N1000_C1_I1.dat,N1000_C1_I1,1000,PSO,109.954351
N1000|runtime|final_case|1000|1000|GA|N1000_C1_I1,medium_large,runtime,final_case,1000,1000,GA,N1000_C1_I1,N1000_C1_I1.dat,N1000_C1_I1,1000,GA,102.515968
N1500|runtime|final_case|1500|1500|Optimization|N1500_C1_I1,medium_large,runtime,final_case,1500,1500,Optimization,N1500_C1_I1,N1500_C1_I1.dat,N1500_C1_I1,1500,Optimization,983.375029
N1500|runtime|final_case|1500|1500|ACO|N1500_C1_I1,medium_large,runtime,final_case,1500,1500,ACO,N1500_C1_I1,N1500_C1_I1.dat,N1500_C1_I1,1500,ACO,119.617558
N1500|runtime|final_case|1500|1500|PSO|N1500_C1_I1,medium_large,runtime,final_case,1500,1500,PSO,N1500_C1_I1,N1500_C1_I1.dat,N1500_C1_I1,1500,PSO,848.819569
N1500|runtime|final_case|1500|1500|GA|N1500_C1_I1,medium_large,runtime,final_case,1500,1500,GA,N1500_C1_I1,N1500_C1_I1.dat,N1500_C1_I1,1500,GA,179.134120
N2000|runtime|final_case|2000|2000|Optimization|N2000_C1_I1,medium_large,runtime,final_case,2000,2000,Optimization,N2000_C1_I1,N2000_C1_I1.dat,N2000_C1_I1,2000,Optimization,623.800291
N2000|runtime|final_case|2000|2000|ACO|N2000_C1_I1,medium_large,runtime,final_case,2000,2000,ACO,N2000_C1_I1,N2000_C1_I1.dat,N2000_C1_I1,2000,ACO,11.886257
N2000|runtime|final_case|2000|2000|PSO|N2000_C1_I1,medium_large,runtime,final_case,2000,2000,PSO,N2000_C1_I1,N2000_C1_I1.dat,N2000_C1_I1,2000,PSO,853.089864
N2000|runtime|final_case|2000|2000|GA|N2000_C1_I1,medium_large,runtime,final_case,2000,2000,GA,N2000_C1_I1,N2000_C1_I1.dat,N2000_C1_I1,2000,GA,623.800291
N2500|runtime|final_case|2500|2500|Optimization|N2500_C1_I1,medium_large,runtime,final_case,2500,2500,Optimization,N2500_C1_I1,N2500_C1_I1.dat,N2500_C1_I1,2500,Optimization,497.781326
N2500|runtime|final_case|2500|2500|ACO|N2500_C1_I1,medium_large,runtime,final_case,2500,2500,ACO,N2500_C1_I1,N2500_C1_I1.dat,N2500_C1_I1,2500,ACO,14.100668
N2500|runtime|final_case|2500|2500|PSO|N2500_C1_I1,medium_large,runtime,final_case,2500,2500,PSO,N2500_C1_I1,N2500_C1_I1.dat,N2500_C1_I1,2500,PSO,1157.910440
N2500|runtime|final_case|2500|2500|GA|N2500_C1_I1,medium_large,runtime,final_case,2500,2500,GA,N2500_C1_I1,N2500_C1_I1.dat,N2500_C1_I1,2500,GA,497.781326
